who is mister perkowski;Doctor Perkowski is a cool guy;speech:tablet:perkowksi
hello robot;Hello! How are you doing today!;speech:body:right
hi robot;Hi! What would you like to do?;speech:body:right
how are you;I am well! I think...?;speech:body:left
can you wave;Yes I can;speech:body:wave
lean right;Right is alright;speech:body:right
lean left;Left it is;speech:body:left
stand up straight;yes sir!;speech:body:straight
i am leaving;I am sad to see you go;speech:tablet:null
goodbye robot;Goodbye Human!;speech:tablet:null
see you later;Nice talking to you! Visit again soon!;speech:tablet:null
what is your favorite color;My favorite color is infrared;speech:tablet:null
how do you move;I move on four mech can um wheels which allow me to be very mobile;speech:tablet:null
what are you made of;I am made of lots of angled alluminum, motors, servos, and wires;speech:tablet:null
how do you see;I see with a variety of sensors including a kinect, sonars, and a laser range finder;speech:tablet:null
how do you speak;I speak using a speaker;speech:tablet;null
do you like me;That depends, do you like me?;speech:tablet:null
i like you;I like you too;speech:tablet:null
i love you;we just met, lets not be too crazy;speech:table:null
where is the bathroom;There is a bathroom near the north entrance of the FAB, say more bathroom and I can tell you others;speech:tablet:bathroom
more bathroom;There is another bathroom by the circuit lounge stairs
how do you listen;I try to listen the best I can with my microphone, but sometimes I make mistakes, for that I am sorry;speech:tablet:null
how's it hanging;All of my circuits are arranged properly today! Thanks for asking;speech:body:wave
who is robert bass;Robert Bass is an Associate Professor who teaches Power Engineering with a Ph.D. from the University of Virginia;speech:tablet:bass	
who is richard campbell;Richard Campbell is an Associate Professor of RFIC Design with a Ph.D. from the University of Washington;speech:tablet:campbell
who is mall gore zeta shah now ski jeske;Malgorzata Chrzanowska is a Professor of Design Automation with a Ph.D. from Auburn University;speech:tablet:chrzanowska	
who is shah now ski;Malgorzata Chrzanowska is a Professor of Design Automation with a Ph.D. from Auburn University;speech:tablet:chrzanowska
who is robert dash;W. Robert Daasch is a Professor of IC Design and Test with a Ph.D. from the University of Washington;speech:tablet:daasch
who is donald duncan;Donald Duncan is a Research Professor of Physical and Statistical Optics with a Ph.D. from Ohio State University;speech:tablet:duncan	
who is mark faust;Mark Faust is an Assistant Professor of Computer Architecture with a M.S.E.E. from Carnegie-Mellon University;speech:tablet:faust
who is garrison greenwood;Garrison Greenwood is an Associate Professor of Computational Intelligence with a Ph.D. from the University of Washington;speech:tablet:greenwood
who is douglas hall;Douglas Hall is an Associate Professor of Computer Architecture with a Ph.D. from Portland State University;speech:tablet:hall	
who is dan hammerstrom;Dan Hammerstrom is a Professor of Biologically Inspired Nanoelectronics with a Ph.D. from the  University of Illinois Urbana-Champaign;speech:tablet:hammerstrom
who is melinda holtzman;Melinda Holtzman is a Senior Instructor of Electromagnetics with a Ph.D. University of Nevada, Reno;speech:tablet:holtzman	
who is why see jank;Y.C. Jenq is a Professor of Digital Signal Processing with a Ph.D. from Princeton University;speech:tablet:jenq
who is roy kravitz;Roy Kravitz is an Professor Embedded Systems and FPGA System-On-Chip Design	with a M.S.E.E. from the University of Illinois at Urbana-Champaign;speech:tablet:kravitz
who is foo lee;Fu Li is a Professor of Communications with a Ph.D. from the University of Rhode Island;speech:tablet:li	
who is james mick names;James McNames is a Professor of Signal Processing and Department Chair with a Ph.D. from Stanford University;speech:tablet:mcnames
who is james morris;James E. Morris is a Professor of Nanoelectronics Packaging with a Ph.D. University of Saskatchewan, Canada;speech:tablet:moris	
who is bra no mirror pee jee no vick;Branimir Pejcinovic is a Professor of Microelectronics with a Ph.D. from the University of Massachusetts, Amherst;speech:tablet:pejcinovic	
who is marek perkowski;Doctor Marek Perkowski is a Professor of Intelligent Robotics with a Ph.D. from the Technical University of Warsaw in Poland, and my Friend;speech:tablet:perkowski
who is doctor perkowski;Doctor Marek Perkowski is a Professor of Intelligent Robotics with a Ph.D. from the Technical University of Warsaw in Poland, and my Friend;speech:tablet:perkowski
who is perkowski;Doctor Marek Perkowski is a Professor of Intelligent Robotics with a Ph.D. from the Technical University of Warsaw in Poland, and my Friend;speech:tablet:perkowski
who is martin si dare ee us;Martin Siderius is an Associate Professor of Acoustics and Electromagnetics with a Ph.D. from the University of Washington;speech:tablet:siderius	
who is ow song;Xiaoyu Song is a Professor of Design Automation and Formal Methods with a Ph.D. from the University of Pisa, Italy;speech:tablet:song
who is christoff teuscher;Christof Teuscher is an Assistant Professor of Emerging Computing Paradigms and Architectures with a Ph.D. from the Swiss Federal Institute of Technology, Switzerland;speech:tablet:teuscher	
who is richard tie murr ski;Richard Tymerski is an Associate Professor of Power Electronics with a Ph.D. from the Virginia Polytechnic Institute and State University;speech:tablet:tymerski	
who is lisa zirk;Lisa M. Zurk is a Professor of Electromagnetics and Acoustics with a Ph.D. from the University of Washington;speech:tablet:zurk
who is jun ow;Jun Jiao is a Professor of Physics and ECE specializing in Nanotechnology with a Ph.D. University of Arizona;speech:tablet:jiao
who is erik sanchez;Erik Sanchez is an Assistant Professor of Physics and ECE with a Ph.D. from Portland State University;speech:tablet:sanchez	
who is raj so lan key;Raj Solanki is a Professor of Physics and ECE Nanotechnology with a Ph.D. from Colorado State University;speech:tablet:solanki	
who is andrew greenberg;Andrew Greenberg is an Associate with a M.S. from Portland State University;speech:tablet:greenberg	
who is daniel rue seff;Daniel Rouseff is an Adjunct Research Associate Professor of Electromagnetics and Acoustics with a Ph.D. from the University of Washington;speech:tablet:rouseff	
who is glenn shirley;Glenn Shirley is an Adjunct Research Associate Professor of IC Assembly/Test, Quality and Reliability with a Ph.D. from Arizona State University;speech:tablet:shirley	
who is ivan sutherland;Ivan Sutherland is a visiting Scientist of Asychronous Research Center with a Ph.D. from the Massachusetts Institute of Technology;speech:tablet:sutherland	
who is eric wan;Eric Wan is a Research Associate Professor with a Ph.D. from Stanford University;speech:tablet:wan
who is all ah all mel dean;Alaa Alameldeen is a Associate Professor of Computer Architecture with a Ph.D. from the University of Wisconsin-Madison;speech:tablet:alameldeen	
where is smith hall;smitth hall is near south west brodaway and south west harrison street cross;speech:question:null
where is neuberger hall;neugberger hall is near south west brodway and south west hall street cross;speech:question:null
where is cramer hall;cramer hall is near south west broadway and montgomery street cross;speech:question:null
where is lincoln hall;lincoln hall is near south west broadway and south west market street;speech:question:null
where is shattuck hall;shattuck hall is near south west bradway and south west college street;speech:question:null
where is the public safety office;public safety is located in room 148 Shattuck Hall;speech:question:null
